job_id,pn,date
315467,PN693,2013-11-12 04:27:32.301122
310237,PN693,2013-11-06 23:06:16.979045
310203,PN693,2013-11-06 22:55:29.878474
306091,PN693,2013-11-02 22:53:18.031843
311444,PN693,2013-11-07 23:34:35.118665
311367,PN693,2013-11-07 23:12:40.47039
315403,PN693,2013-11-12 04:07:14.301219
316414,PN693,2013-11-13 02:18:41.250851
316587,PN693,2013-11-13 03:13:37.067404
305360,PN693,2013-11-01 23:18:57.390609
306044,PN693,2013-11-02 22:37:02.127687
330549,PN693,2013-11-21 23:57:58.749212
330622,PN693,2013-11-22 00:18:35.656481
317559,PN693,2013-11-14 00:38:01.702847
306935,PN693,2013-11-03 22:39:05.155946
307878,PN693,2013-11-04 22:54:02.420387
347138,PN693,2013-11-29 00:29:12.97653
347162,PN693,2013-11-29 00:37:34.540285
307817,PN693,2013-11-04 22:35:04.343743
309027,PN693,2013-11-05 22:54:32.957485
347692,PN693,2013-11-29 23:59:46.727723
308966,PN693,2013-11-05 22:36:55.558795
307044,PN693,2013-11-03 23:16:39.37012
305297,PN693,2013-11-01 22:59:20.265176
312603,PN693,2013-11-09 04:20:47.910678
312656,PN693,2013-11-09 04:37:40.072908
325361,PN693,2013-11-20 00:38:15.475588
325395,PN693,2013-11-20 00:44:56.906039
317500,PN693,2013-11-14 00:19:50.935306
313376,PN693,2013-11-09 23:38:48.688346
318703,PN693,2013-11-15 00:35:03.633393
318842,PN693,2013-11-15 01:25:42.057986
313501,PN693,2013-11-10 00:19:05.241549
314309,PN693,2013-11-11 00:03:34.127369
314356,PN693,2013-11-11 00:18:51.749675
319825,PN693,2013-11-16 00:41:07.870011
319761,PN693,2013-11-16 00:21:47.722561
320909,PN693,2013-11-17 00:31:48.159533
320889,PN693,2013-11-17 00:25:07.74995
347895,PN693,2013-11-30 01:07:27.784934
327491,PN693,2013-11-20 23:47:19.602833
321899,PN693,2013-11-18 00:32:17.607471
327595,PN693,2013-11-21 00:09:23.595719
321818,PN693,2013-11-18 00:12:02.748241
322876,PN693,2013-11-18 23:38:04.78527
323032,PN693,2013-11-19 00:23:10.366096
333647,PN693,2013-11-22 23:52:51.686414
333629,PN693,2013-11-22 23:46:52.913963
338070,PN693,2013-11-24 00:28:44.282158
337810,PN693,2013-11-23 23:39:31.740651
344658,PN693,2013-11-26 23:58:37.691014
344738,PN693,2013-11-27 00:23:16.094026
341920,PN693,2013-11-25 00:34:14.328695
341941,PN693,2013-11-25 00:42:13.658348
346404,PN693,2013-11-27 23:57:10.416663
343429,PN693,2013-11-26 00:13:26.098404
343611,PN693,2013-11-26 00:38:32.541055
348416,PN693,2013-12-01 00:52:15.233909
348354,PN693,2013-12-01 00:31:16.075602
348980,PN693,2013-12-01 23:54:34.598307
349013,PN693,2013-12-02 00:08:02.368947
346497,PN693,2013-11-28 00:18:21.938499
314479,PN766,2013-11-11 10:24:42.19701
323271,PN766,2013-11-19 06:31:05.898675
315365,PN766,2013-11-12 03:54:51.830634
315414,PN766,2013-11-12 04:10:18.162688
316528,PN766,2013-11-13 02:54:03.140172
322924,PN766,2013-11-18 23:52:19.314061
322996,PN766,2013-11-19 00:11:31.073609
346451,PN766,2013-11-28 00:06:48.964068
316579,PN766,2013-11-13 03:11:17.034442
346529,PN766,2013-11-28 00:28:58.491898
346619,PN766,2013-11-28 00:56:28.370898
346601,PN766,2013-11-28 00:50:03.911931
325240,PN766,2013-11-19 23:57:09.784438
330684,PN766,2013-11-22 00:29:37.640632
330777,PN766,2013-11-22 00:43:23.89695
347053,PN766,2013-11-28 23:57:13.670348
347084,PN766,2013-11-29 00:08:56.230622
347140,PN766,2013-11-29 00:29:54.776505
347203,PN766,2013-11-29 00:51:29.872899
347206,PN766,2013-11-29 00:52:11.397575
319815,PN766,2013-11-16 00:37:49.53648
325155,PN766,2013-11-19 23:35:44.702195
325380,PN766,2013-11-20 00:41:42.333841
325408,PN766,2013-11-20 00:48:48.34706
317538,PN766,2013-11-14 00:31:19.585547
317684,PN766,2013-11-14 01:16:53.67399
327608,PN766,2013-11-21 00:11:44.455993
318680,PN766,2013-11-15 00:27:21.013719
318817,PN766,2013-11-15 01:19:22.660978
314472,PN766,2013-11-11 09:55:41.965231
333636,PN766,2013-11-22 23:49:15.401382
319755,PN766,2013-11-16 00:19:47.804234
320864,PN766,2013-11-17 00:17:43.686714
320812,PN766,2013-11-17 00:02:46.04488
321771,PN766,2013-11-17 23:57:27.907044
321699,PN766,2013-11-17 23:39:17.392308
327499,PN766,2013-11-20 23:50:01.661602
333589,PN766,2013-11-22 23:34:35.652229
327597,PN766,2013-11-21 00:09:43.706252
327778,PN766,2013-11-21 00:43:50.923649
330634,PN766,2013-11-22 00:20:52.517079
333625,PN766,2013-11-22 23:45:35.896687
323910,PN766,2013-11-19 09:20:45.214018
323297,PN766,2013-11-19 06:52:12.857662
323908,PN766,2013-11-19 09:20:30.541374
333919,PN766,2013-11-23 00:42:26.22851
337934,PN766,2013-11-24 00:09:31.124739
330552,PN766,2013-11-21 23:59:00.594195
337828,PN766,2013-11-23 23:45:53.039889
338125,PN766,2013-11-24 00:43:32.098779
343332,PN766,2013-11-25 23:58:16.574561
348422,PN766,2013-12-01 00:54:17.892746
343516,PN766,2013-11-26 00:27:30.636205
344627,PN766,2013-11-26 23:48:22.780287
344732,PN766,2013-11-27 00:21:05.763432
344829,PN766,2013-11-27 00:54:02.53717
338105,PN766,2013-11-24 00:37:48.480923
341779,PN766,2013-11-24 23:45:28.794247
341795,PN766,2013-11-24 23:51:06.987244
341852,PN766,2013-11-25 00:10:29.982781
345050,PN766,2013-11-27 08:19:27.534082
344766,PN766,2013-11-27 00:32:45.752815
347707,PN766,2013-11-30 00:08:20.653207
347758,PN766,2013-11-30 00:25:08.552863
347759,PN766,2013-11-30 00:25:28.41773
347771,PN766,2013-11-30 00:29:36.385771
347863,PN766,2013-11-30 00:57:43.409528
348263,PN766,2013-12-01 00:02:28.577389
346489,PN766,2013-11-28 00:15:31.315873
341919,PN766,2013-11-25 00:33:51.455206
348262,PN766,2013-12-01 00:01:53.454232
343605,PN766,2013-11-26 00:37:33.034396
343685,PN766,2013-11-26 00:48:26.668396
348291,PN766,2013-12-01 00:12:13.16691
348404,PN766,2013-12-01 00:48:15.177445
349177,PN766,2013-12-02 01:04:10.822019
349144,PN766,2013-12-02 00:52:59.981593
349112,PN766,2013-12-02 00:42:41.9343
349190,PN766,2013-12-02 01:08:32.941563
348976,PN766,2013-12-01 23:53:12.795414
