text,tweet_id,name,retweet_count,tweet_location,tweet_created,user_timezone,tweet_coord
"Here at  TU Wien, Ethics &amp; Bias in Artifical Intelligence https://t.co/mRK4z0macD",993536320495644672,PailerRudi,0,,2018-05-07 17:01:32 +0000,Pacific Time (US & Canada),
"RT @isrcmu: ""The emphasis of this course is to link AI methods directly to the societal challenges we are facing."" - @fangf07 re: her new c…",992106232331866112,americanaworks,8,"Preferably, on the Frontier",2018-05-03 18:18:52 +0000,Quito,
"RT @isrcmu: ""The emphasis of this course is to link AI methods directly to the societal challenges we are facing."" - @fangf07 re: her new c…",991059669174153217,ActionableHuman,8,,2018-04-30 21:00:12 +0000,Eastern Time (US & Canada),
"RT @isrcmu: ""The emphasis of this course is to link AI methods directly to the societal challenges we are facing."" - @fangf07 re: her new c…",990585252547571712,mathematicswx,8,,2018-04-29 13:35:03 +0000,Eastern Time (US & Canada),
